Package Name,Class Name,Method Name,Parameter Types,Cyclomatic Complexity
org.apache.commons.collections4.iterators,Tree,branchIterator,"No parameters",1
org.apache.commons.collections4.functors,AbstractCompositePredicateTest,singleElementArrayToGetInstance,"No parameters",1
org.apache.commons.collections4.map,AbstractMapTest,testMapIsEmpty,"No parameters",1
org.apache.commons.collections4,GuavaTestlibTest,suite,"No parameters",1
org.apache.commons.collections4.multiset,MultiSetEntry,getElement,"No parameters",1
org.apache.commons.collections4.properties,AbstractPropertiesFactoryTest,getParameters,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testRemoveAllNullSubColl,"No parameters",1
org.apache.commons.collections4.set,UnmodifiableSortedSet,unmodifiableSortedSet,"SortedSet<E>",2
org.apache.commons.collections4.multiset,UnmodifiableMultiSet,retainAll,"Collection<?>",1
org.apache.commons.collections4,CollectionUtilsTest,testRemoveCountStartNegative,"No parameters",1
org.apache.commons.collections4.map,Flat3MapTest,testSerialisation0,"No parameters",1
org.apache.commons.collections4.iterators,EmptyIterator,emptyIterator,"No parameters",1
org.apache.commons.collections4,SortedBidiMap,inverseBidiMap,"No parameters",1
org.apache.commons.collections4.map,Flat3MapTest,testSerialisation2,"No parameters",1
org.apache.commons.collections4.map,AbstractReferenceMap,resolve,"int",2
org.apache.commons.collections4.map,Flat3MapTest,testSerialisation4,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractBidiMapTest,testBidiGetKeyInverse,"No parameters",1
org.apache.commons.collections4.list,AbstractLinkedList,getLast,"No parameters",2
org.apache.commons.collections4.multiset,AbstractMapMultiSet,uniqueElements,"No parameters",1
org.apache.commons.collections4,ArrayStack,empty,"No parameters",1
org.apache.commons.collections4.properties,EmptyProperties,compute,"Object, BiFunction<? super Object,? super Object,? extends Object>",1
org.apache.commons.collections4.map,TransformedMap,checkSetValue,"V",1
org.apache.commons.collections4.bloomfilter,AbstractCellExtractorTest,testForEachCellPredicates,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,testNestedSixes,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapTest,testBidiRemoveByHeadMapEntrySet,"No parameters",2
org.apache.commons.collections4.keyvalue,AbstractMapEntryTest,makeMapEntry,"K, V",1
org.apache.commons.collections4,SetUtils,intersection,"Set<? extends E>, Set<? extends E>",1
org.apache.commons.collections4.map,Segment,putInternal,"K, int, V, Function<? super K,? extends V>, boolean",7
org.apache.commons.collections4.map,MultiValueMapTest,testRemoveAllViaIterator,"No parameters",2
org.apache.commons.collections4,PredicateUtilsTest,testEitherPredicateEx,"No parameters",1
org.apache.commons.collections4,MapPerformance,testAll,"No parameters",1
org.apache.commons.collections4.map,LRUMapTest,testRemoveLRUBlocksRemoveScan,"No parameters",1
org.apache.commons.collections4.iterators,PushbackIteratorTest,testImmediatePushback,"No parameters",1
org.apache.commons.collections4.map,AbstractOrderedMapTest,bulkTestOrderedMapIterator,"No parameters",1
org.apache.commons.collections4.map,StaticBucketMapTest,test_get_nullMatchesIncorrectly,"No parameters",2
org.apache.commons.collections4.bidimap,TreeBidiMap,getGrandParent,"Node<K,V>, DataElement",1
org.apache.commons.collections4.map,Segment,removeStale,"No parameters",2
org.apache.commons.collections4.sequence,SequencesComparatorTest,testMinimal,"No parameters",4
org.apache.commons.collections4,IteratorUtils,singletonIterator,"E",1
org.apache.commons.collections4.iterators,SkippingIteratorTest,testOffsetGreaterThanSize,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapTest,testBidiRemoveBySubMap,"No parameters",2
org.apache.commons.collections4.properties,OrderedPropertiesTest,testLoadOrderedKeys,"No parameters",1
org.apache.commons.collections4.map,TestMapEntrySet,testMapEntrySetIteratorEntrySetValue,"No parameters",3
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapTest,testBidiRemoveByHeadMap,"No parameters",2
org.apache.commons.collections4,TransformerUtilsTest,testInvokerTransformer2,"No parameters",1
org.apache.commons.collections4,ListUtilsTest,testGetFirst,"No parameters",1
org.apache.commons.collections4,SetOperationCardinalityHelper,list,"No parameters",1
org.apache.commons.collections4.map,AbstractMapTest,isAllowNullValueGet,"No parameters",1
org.apache.commons.collections4.set,ListOrderedSetTest,testDecorator,"No parameters",1
org.apache.commons.collections4.map,LazySortedMapTest,testReverseSortOrder,"No parameters",1
org.apache.commons.collections4,IteratorUtilsTest,testToList,"No parameters",1
org.apache.commons.collections4,FluentIterable,eval,"No parameters",1
org.apache.commons.collections4.properties,EmptyPropertiesTest,testStringPropertyName,"No parameters",1
org.apache.commons.collections4.set,PredicatedSetTest,makeTestSet,"No parameters",1
org.apache.commons.collections4,CollectionUtils,isNotEmpty,"Collection<?>",1
org.apache.commons.collections4.bloomfilter,SetOperationsTest,assertSymmetricOperation,"int, ToIntBiFunction<BloomFilter,BloomFilter>, BloomFilter, BloomFilter",1
org.apache.commons.collections4,CollectionUtilsTest,testSize_List,"No parameters",1
org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,lengthInBits,"String",1
org.apache.commons.collections4,TransformerUtils,nopTransformer,"No parameters",1
org.apache.commons.collections4.bloomfilter,ArrayCountingBloomFilter,asIndexArray,"No parameters",1
org.apache.commons.collections4,IterableUtilsTest,testDuplicateListMultipleDuplicatesInList,"No parameters",1
org.apache.commons.collections4.bloomfilter,SimpleBloomFilter,getShape,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testNeitherPredicateEx,"No parameters",1
org.apache.commons.collections4.iterators,FilterIteratorTest,makePassThroughFilter,"Iterator<E>",1
org.apache.commons.collections4.bloomfilter,Shape,getNumberOfHashFunctions,"No parameters",1
org.apache.commons.collections4,WrappedPut,remove,"Object",1
org.apache.commons.collections4,MapUtilsTest,testIsEmptyWithEmptyMap,"No parameters",1
org.apache.commons.collections4.bloomfilter,ShapeTest,testBadNumberOfHashFunctions,"No parameters",1
org.apache.commons.collections4.map,Flat3MapTest,testGet3,"No parameters",1
org.apache.commons.collections4.map,Flat3MapTest,testGet2,"No parameters",1
org.apache.commons.collections4,CollectionUtils,checkIndexBounds,"int",2
org.apache.commons.collections4.map,Flat3MapTest,testGet1,"No parameters",1
org.apache.commons.collections4,TransformerUtilsTest,testExceptionTransformer,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testGetFromLinkedHashMap,"No parameters",1
org.apache.commons.collections4.map,MultiValueMapTest,testPutAll_KeyCollection,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIterator,clearNextObject,"No parameters",1
org.apache.commons.collections4,BagUtils,unmodifiableSortedBag,"SortedBag<E>",1
org.apache.commons.collections4.iterators,ObjectGraphIteratorTest,testIteration_Transformed3,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testRemoveRangeWrongEndIndex,"No parameters",1
org.apache.commons.collections4.list,Collections701Test,testArrayList,"No parameters",1
org.apache.commons.collections4.iterators,ObjectGraphIteratorTest,testIteration_Transformed2,"No parameters",1
org.apache.commons.collections4.iterators,ObjectGraphIteratorTest,testIteration_Transformed1,"No parameters",1
org.apache.commons.collections4,TransformerUtilsTest,testChainedTransformer,"No parameters",1
org.apache.commons.collections4.map,MultiValueMap,getCollection,"Object",1
org.apache.commons.collections4,ListUtilsTest,testLongestCommonSubsequence,"No parameters",1
org.apache.commons.collections4.multiset,UnmodifiableMultiSetTest,makeFullCollection,"No parameters",1
org.apache.commons.collections4.map,Builder,strongValues,"No parameters",1
org.apache.commons.collections4,MultiValuedMap,containsMapping,"Object, Object",1
org.apache.commons.collections4.map,DefaultedMapTest,testFactoryMethods,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,walkBackward,"ListIterator<?>, ListIterator<?>",2
org.apache.commons.collections4,AbstractObjectTest,writeExternalFormToBytes,"Serializable",1
org.apache.commons.collections4,MapUtils,populateMap,"MultiMap<K,V>, Iterable<? extends V>, Transformer<V,K>",1
org.apache.commons.collections4.properties,SortedPropertiesFactoryTest,testInstance,"No parameters",1
org.apache.commons.collections4.iterators,PermutationIteratorTest,testPermutatorHasMore,"No parameters",2
org.apache.commons.collections4.map,TestHeadMap,testHeadMapOutOfRange,"No parameters",2
org.apache.commons.collections4.properties,EmptyProperties,computeIfPresent,"Object, BiFunction<? super Object,? super Object,? extends Object>",1
org.apache.commons.collections4.map,MultiValueMap,totalSize,"No parameters",2
org.apache.commons.collections4.bloomfilter,CellExtractor,populate,"No parameters",3
org.apache.commons.collections4.collection,PredicatedCollectionBuilderTest,testCreatePredicatedCollectionWithPredicate,"No parameters",1
org.apache.commons.collections4,ClosureUtilsTest,testChainedClosure,"No parameters",1
org.apache.commons.collections4.queue,CircularFifoQueueTest,testAddNull,"No parameters",1
org.apache.commons.collections4,MapUtilsTest,testGetMap,"No parameters",1
org.apache.commons.collections4,ClosureUtils,ifClosure,"Predicate<? super E>, Closure<? super E>, Closure<? super E>",1
org.apache.commons.collections4.set,AbstractSetTest,isEqualsCheckable,"No parameters",1
org.apache.commons.collections4,IterableUtilsTest,firstFromIterable,"No parameters",1
org.apache.commons.collections4,IteratorUtils,arrayListIterator,"Object, int, int",1
org.apache.commons.collections4,SetUtils,emptySortedSet,"No parameters",1
org.apache.commons.collections4.bidimap,TreeBidiMap,nextGreater,"Node<K,V>, DataElement",4
org.apache.commons.collections4.map,FixedSizeSortedMap,fixedSizeSortedMap,"SortedMap<K,V>",1
org.apache.commons.collections4,IterableUtilsTest,testDuplicateListWithDuplicates,"No parameters",1
org.apache.commons.collections4.map,AbstractMapTest,makeEntryArray,"K[], V[]",2
org.apache.commons.collections4.trie,KeyAnalyzer,isOutOfBoundsIndex,"int",1
org.apache.commons.collections4.map,AbstractMapTest,getOtherKeys,"No parameters",1
org.apache.commons.collections4.bloomfilter,LayeredBloomFilterTest,testNext,"No parameters",1
org.apache.commons.collections4.map,AbstractReferenceMap,hashEntry,"Object, Object",1
org.apache.commons.collections4.multimap,TransformedMultiValuedMap,transformingMap,"MultiValuedMap<K,V>, Transformer<? super K,? extends K>, Transformer<? super V,? extends V>",1
org.apache.commons.collections4.collection,CompositeCollectionTest,testToCollection,"No parameters",1
org.apache.commons.collections4.bloomfilter,IndexExtractorFromHasherTest,createExtractor,"No parameters",1
org.apache.commons.collections4.functors,AbstractCompositePredicateTest,nullElementInArrayToGetInstance,"No parameters",1
org.apache.commons.collections4.map,LinkIterator,previousEntry,"No parameters",3
org.apache.commons.collections4.multiset,AbstractMapMultiSet,toArray,"T[]",5
org.apache.commons.collections4.list,SetUniqueListTest,testSubListIsUnmodifiable,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,testEvens,"No parameters",1
org.apache.commons.collections4,SetUtilsTest,testUnmodifiableSet,"No parameters",1
org.apache.commons.collections4.set,CompositeSet,setMutator,"SetMutator<E>",1
org.apache.commons.collections4,PredicateUtilsTest,testNullIsTruePredicateEx1,"No parameters",1
org.apache.commons.collections4.bloomfilter,AbstractCountingBloomFilterTest,testGetMaxInsert,"No parameters",1
org.apache.commons.collections4.bloomfilter,ShapeTest,testBadNumberOfBits,"No parameters",1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,removeInternalEntry,"TrieEntry<K,V>",11
org.apache.commons.collections4.bloomfilter,ArrayCountingBloomFilter,getMaxInsert,"CellExtractor",2
org.apache.commons.collections4.functors,DefaultEquator,defaultEquator,"No parameters",1
org.apache.commons.collections4.list,AbstractListTest,testListGetByIndexBoundsChecking,"No parameters",1
org.apache.commons.collections4.queue,AbstractQueueTest,testEmptyQueueSerialization,"No parameters",2
org.apache.commons.collections4.list,AbstractListTest,testListAddByIndex,"No parameters",3
org.apache.commons.collections4,MapUtilsTest,testOrderedMap,"No parameters",1
org.apache.commons.collections4.multimap,HashSetValuedHashMapTest,makeConfirmedMap,"No parameters",1
org.apache.commons.collections4,IterableUtils,duplicateList,"Iterable<E>",1
org.apache.commons.collections4.iterators,NodeListIteratorTest,testEmptyIteratorWithNodeConstructor,"No parameters",1
org.apache.commons.collections4.map,MultiKeyMap,hash,"Object, Object, Object, Object, Object",6
org.apache.commons.collections4,MockTestCase,createMock,"Class<?>",1
org.apache.commons.collections4,IterableUtilsTest,testDuplicateSetEmptySet,"No parameters",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,testContainsValue_Key,"No parameters",4
org.apache.commons.collections4.trie,AbstractPatriciaTrie,ceilingEntry,"K",8
org.apache.commons.collections4,PredicateUtilsTest,testAsPredicateTransformer,"No parameters",1
org.apache.commons.collections4.iterators,TransformIterator,getTransformer,"No parameters",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,bulkTestMultiValuedMapKeySet,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testDisjunction,"No parameters",1
org.apache.commons.collections4.properties,EmptyProperties,save,"OutputStream, String",1
org.apache.commons.collections4.list,CursorableLinkedListTest,testInternalState_CursorNextNextRemoveByIterator,"No parameters",1
org.apache.commons.collections4,MapUtils,toProperties,"Map<K,V>",3
org.apache.commons.collections4,CollectionUtilsTest,forAllButLastDoIterator,"No parameters",1
org.apache.commons.collections4,QueueUtilsTest,testUnmodifiableQueue,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractBidiMapTest,testBidiRemove,"No parameters",2
org.apache.commons.collections4,CollectionUtilsTest,testGetPositiveOutOfBounds,"No parameters",1
org.apache.commons.collections4.list,CursorableLinkedListTest,testInternalState_CursorNextAddIndex1ByList,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testRemoveRange,"No parameters",1
org.apache.commons.collections4.iterators,BoundedIterator,checkBounds,"No parameters",2
org.apache.commons.collections4.properties,EmptyPropertiesTest,testGetPropertyDefault,"No parameters",1
org.apache.commons.collections4,IterableUtilsTest,testForEach,"No parameters",1
org.apache.commons.collections4.list,CursorableLinkedListTest,testCursorNextIndexAddBefore,"No parameters",1
org.apache.commons.collections4.map,AbstractHashedMap,hashIndex,"int, int",1
org.apache.commons.collections4.bidimap,AbstractViewIterator,navigateNext,"No parameters",3
org.apache.commons.collections4.list,Node,setNextNode,"Node<E>",1
org.apache.commons.collections4.map,HashEntry,dereferenceValue,"Object",2
org.apache.commons.collections4.set,TransformedSetTest,testTransformedSet,"No parameters",2
org.apache.commons.collections4.map,StaticBucketMapTest,test_containsValue_nullMatchesIncorrectly,"No parameters",2
org.apache.commons.collections4,MultiMapUtils,transformedMultiValuedMap,"MultiValuedMap<K,V>, Transformer<? super K,? extends K>, Transformer<? super V,? extends V>",1
org.apache.commons.collections4,CollectionUtilsTest,forAllDoIterator,"No parameters",1
org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMapTest,testUnmodifiableKeySet,"No parameters",1
org.apache.commons.collections4,MapUtilsTest,testDebugPrintNullLabel,"No parameters",1
org.apache.commons.collections4,IteratorUtils,zippingIterator,"Iterator<? extends E>, Iterator<? extends E>, Iterator<? extends E>",1
org.apache.commons.collections4.iterators,PeekingIterator,peek,"No parameters",1
org.apache.commons.collections4.bag,AbstractSortedBagDecorator,comparator,"No parameters",1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,subtree,"K, int, int",8
org.apache.commons.collections4.bloomfilter,DefaultBloomFilterTest,testDefaultBloomFilterSparseSpecificMerge,"No parameters",1
org.apache.commons.collections4,ComparatorUtils,reversedComparator,"Comparator<E>",1
org.apache.commons.collections4,MapUtils,getFloatValue,"Map<? super K,?>, K, Function<K,Float>",1
org.apache.commons.collections4.list,AVLNode,setRight,"AVLNode<E>, AVLNode<E>",1
org.apache.commons.collections4.comparators,Equals,expectFalseWhenOneComparatorsWithDuplicateItems,"No parameters",1
org.apache.commons.collections4,ListUtilsTest,testIntersectionOrderInsensitivity,"No parameters",1
org.apache.commons.collections4,MapUtilsTest,testIsNotEmptyWithNull,"No parameters",1
org.apache.commons.collections4.properties,EmptyPropertiesTest,testLoadReader,"No parameters",1
org.apache.commons.collections4.map,Builder,weakKeys,"No parameters",1
org.apache.commons.collections4,PredicateUtils,neitherPredicate,"Predicate<? super T>, Predicate<? super T>",1
org.apache.commons.collections4.collection,AbstractCollectionTest,testCollectionIterator,"No parameters",3
org.apache.commons.collections4,CollectionUtilsTest,testPermutations,"No parameters",2
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,addSampleMappings,"MultiValuedMap<? super K,? super V>",2
org.apache.commons.collections4,CollectionUtilsTest,testAddAllForEnumeration,"No parameters",1
org.apache.commons.collections4,EnumerationUtils,toList,"StringTokenizer",2
org.apache.commons.collections4.list,AbstractLinkedList,isEqualValue,"Object, Object",1
org.apache.commons.collections4.bloomfilter,AbstractCountingBloomFilterTest,removeDecrementsAllCellsTest,"No parameters",1
org.apache.commons.collections4.map,ListOrderedMapTest,testCOLLECTIONS_474_nullValues,"No parameters",1
org.apache.commons.collections4.iterators,LazyIteratorChainTest,testFirstIteratorIsEmptyBug,"No parameters",2
org.apache.commons.collections4.list,AbstractLinkedList,removeFirst,"No parameters",2
org.apache.commons.collections4.iterators,LoopingListIteratorTest,testAdd,"No parameters",1
org.apache.commons.collections4.multiset,AbstractMultiSetTest,testMultiSetHashCode,"No parameters",2
org.apache.commons.collections4.properties,OrderedPropertiesTest,testComputeIfAbsent,"No parameters",3
org.apache.commons.collections4,PredicateUtilsTest,testTransformedPredicate,"No parameters",1
org.apache.commons.collections4,QueueUtilsTest,testSynchronizedQueue,"No parameters",1
org.apache.commons.collections4.queue,AbstractQueueTest,testQueueRemove,"No parameters",3
org.apache.commons.collections4.bidimap,TreeBidiMap,greatestNode,"Node<K,V>, DataElement",3
org.apache.commons.collections4.bloomfilter,AbstractIndexExtractorTest,testForEachIndex,"No parameters",1
org.apache.commons.collections4.multiset,AbstractMultiSetTest,testMultiSetIteratorFail,"No parameters",2
org.apache.commons.collections4.bag,AbstractBagTest,testBagRetainAll,"No parameters",2
org.apache.commons.collections4.map,Flat3MapTest,putAndRemove,"Map<K,V>",1
org.apache.commons.collections4.properties,EmptyPropertiesTest,testHashCode,"No parameters",1
org.apache.commons.collections4.queue,PredicatedQueueTest,makeTestQueue,"No parameters",1
org.apache.commons.collections4.iterators,FilterIteratorTest,testRepeatedNext,"No parameters",2
org.apache.commons.collections4.multiset,UnmodifiableMultiSet,removeIf,"Predicate<? super E>",1
org.apache.commons.collections4.map,MultiValueMapTest,testRemoveAllViaKeyedIterator,"No parameters",2
org.apache.commons.collections4.list,CursorableLinkedListTest,testToArray,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx2,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx1,"No parameters",1
org.apache.commons.collections4,CollectionUtils,isProperSubCollection,"Collection<?>, Collection<?>",1
org.apache.commons.collections4,BagUtilsTest,testUnmodifiableBag,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx6,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx5,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx4,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testAllPredicateEx3,"No parameters",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,testAsMapGet_Full,"No parameters",3
org.apache.commons.collections4.iterators,FilterListIteratorTest,testNestedSixes3,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,testThrees,"No parameters",1
org.apache.commons.collections4.bag,TransformedSortedBagTest,testTransformedBag,"No parameters",2
org.apache.commons.collections4.map,AbstractMapTest,testEntrySetRemoveChangesMap,"No parameters",3
org.apache.commons.collections4.multiset,PredicatedMultiSet,predicatedMultiSet,"MultiSet<E>, Predicate<? super E>",1
org.apache.commons.collections4.map,AbstractSortedMapTest,bulkTestSubMap,"No parameters",1
org.apache.commons.collections4.list,TreeListTest,testInsertBefore,"No parameters",1
org.apache.commons.collections4.functors,AbstractMockPredicateTest,getTestValue,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,testNestedSixes2,"No parameters",1
org.apache.commons.collections4.iterators,EmptyIterator,resettableEmptyIterator,"No parameters",1
org.apache.commons.collections4.sequence,CommandVisitor,visitKeepCommand,"T",1
org.apache.commons.collections4.bloomfilter,LayerManagerTest,testingBuilder,"No parameters",1
org.apache.commons.collections4.queue,CircularFifoQueue,isAtFullCapacity,"No parameters",1
org.apache.commons.collections4,FactoryUtilsTest,testExceptionFactory,"No parameters",1
org.apache.commons.collections4.bloomfilter,LayerManagerTest,testOnMaxSize,"int",3
org.apache.commons.collections4.list,AbstractListTest,backwardTest,"ListIterator<E>, int",2
org.apache.commons.collections4,IterableUtils,forEachButLast,"Iterable<E>, Closure<? super E>",1
org.apache.commons.collections4.collection,CompositeCollection,toCollection,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIteratorTest,testNextChangesPrevious,"No parameters",1
org.apache.commons.collections4.bidimap,TreeBidiMap,checkValue,"Object",1
org.apache.commons.collections4.set,AbstractNavigableSetDecorator,floor,"E",1
org.apache.commons.collections4,EnumerationUtilsTest,testGetFromEnumeration,"No parameters",1
org.apache.commons.collections4.iterators,LoopingListIteratorTest,testJoggingOverBoundary,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testInvokerPredicateEx3,"No parameters",1
org.apache.commons.collections4,MapUtilsTest,getDecimalSeparator,"No parameters",2
org.apache.commons.collections4,PredicateUtilsTest,testInvokerPredicateEx2,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractSortedBidiMapTest,testBidiSubMapContains,"No parameters",1
org.apache.commons.collections4,FluentIterable,forEach,"Closure<? super E>",1
org.apache.commons.collections4.iterators,Leaf,getColor,"No parameters",1
org.apache.commons.collections4,IteratorUtilsTest,testAsIteratorNull,"No parameters",1
org.apache.commons.collections4,IteratorUtilsTest,getImmutableListIterator,"No parameters",1
org.apache.commons.collections4,TransformerUtils,constantTransformer,"O",1
org.apache.commons.collections4.trie,RangeEntryMap,createRangeMap,"K, boolean, K, boolean",1
org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,setValue,"V",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,bulkTestMultiValuedMapEntries,"No parameters",1
org.apache.commons.collections4.iterators,FilterIteratorTest,testSetPredicate,"No parameters",1
org.apache.commons.collections4.properties,EmptyPropertiesTest,testGetOrDefault,"No parameters",1
org.apache.commons.collections4,PredicateUtilsTest,testInvokerPredicateEx1,"No parameters",1
org.apache.commons.collections4.list,CursorableLinkedListTest,testLongSerialization,"No parameters",2
org.apache.commons.collections4.map,PassiveExpiringMap,isExpired,"long, Long",2
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,testMapIteratorRemove,"No parameters",2
org.apache.commons.collections4.keyvalue,MultiKeyTest,testGetIndexed,"No parameters",1
org.apache.commons.collections4,ListUtilsTest,testLongestCommonSubsequenceWithString,"No parameters",1
org.apache.commons.collections4,BagUtilsTest,testTransformedSortedBag,"No parameters",1
org.apache.commons.collections4.collection,AbstractCollectionTest,assertNotCollectionContainsAll,"Collection<?>, Collection<?>",2
org.apache.commons.collections4,ListUtilsTest,testGetLast,"No parameters",1
org.apache.commons.collections4.list,AbstractListTest,testListListIteratorNextRemoveNext,"No parameters",3
